,address,Route Name,Route Latitude,Route Longitude,Venue,Venue Summary,Venue Category,Distance,Address,Neighborhood Latitude,Neighborhood Longitude,Route_Name
0,,,,,artigiani del Cibo,This spot is popular,Italian Restaurant,465,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
1,,,,,The Old Five Bells,This spot is popular,Pub,481,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
2,,,,,Costa Coffee,This spot is popular,Coffee Shop,630,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
3,,,,,The Bee,This spot is popular,Bar,680,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
4,,,,,Tesco Express,This spot is popular,Grocery Store,539,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
5,,,,,Burnham Park,This spot is popular,Park,132,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
6,,,,,The Garibaldi,This spot is popular,Bar,311,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
7,,,,,Akash Tandoori,This spot is popular,Indian Restaurant,356,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
8,,,,,Ye Olde Swan,This spot is popular,Bar,451,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
9,,,,,Peppers Indian Restaurant,This spot is popular,Indian Restaurant,507,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
10,,,,,Tesco Express,This spot is popular,Grocery Store,528,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
11,,,,,Burnham Delight Cafe,This spot is popular,Café,553,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
12,,,,,Whole Creations Ltd,This spot is popular,Food & Drink Shop,630,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
13,,,,,Burnham Village Store,This spot is popular,Convenience Store,641,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
14,,,,,End Of Night Kebab Van,This spot is popular,Food Truck,820,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
15,,,,,Platform 2,This spot is popular,Platform,940,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
16,,,,,Roll With It,This spot is popular,Food Truck,942,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
17,,,,,Platform 1,This spot is popular,Platform,956,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
18,,,,,Big Ben's Fish and Chips,This spot is popular,English Restaurant,965,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
19,,,,,Mark Seymour Photography,This spot is popular,Photography Studio,966,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
20,,,,,Burnham Railway Station (BNM),This spot is popular,Train Station,946,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
21,,,,,The Range,This spot is popular,Furniture / Home Store,504,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
22,,,,,Smyths Toys,This spot is popular,Toy / Game Store,434,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
23,,,,,Costa Coffee,This spot is popular,Coffee Shop,877,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
24,,,,,Costa Coffee,This spot is popular,Coffee Shop,852,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
25,,,,,Matalan,This spot is popular,Clothing Store,483,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
26,,,,,Kings Head,This spot is popular,Pub,802,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
27,,,,,McDonald's,This spot is popular,Fast Food Restaurant,502,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
28,,,,,Johal Premier Express,This spot is popular,Convenience Store,327,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
29,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,327,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
30,,,,,Asda,This spot is popular,Supermarket,460,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
31,,,,,Jet Garage,This spot is popular,Auto Workshop,595,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
32,,,,,Starbucks,This spot is popular,Coffee Shop,878,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
33,,,,,DFS,This spot is popular,Furniture / Home Store,586,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
34,,,,,O2 Canteen,This spot is popular,Restaurant,854,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
35,,,,,Currys PC World,This spot is popular,Electronics Store,698,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
36,,,,,The king and i,This spot is popular,Chinese Restaurant,717,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
37,,,,,Londis,This spot is popular,Convenience Store,783,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
38,,,,,Absolutely Karting,This spot is popular,Go Kart Track,846,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
39,,,,,Zorba's,This spot is popular,Food Truck,947,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
40,,,,,The Range,This spot is popular,Furniture / Home Store,574,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
41,,,,,Smyths Toys,This spot is popular,Toy / Game Store,500,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
42,,,,,Costa Coffee,This spot is popular,Coffee Shop,940,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
43,,,,,Costa Coffee,This spot is popular,Coffee Shop,932,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
44,,,,,Matalan,This spot is popular,Clothing Store,563,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
45,,,,,McDonald's,This spot is popular,Fast Food Restaurant,426,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
46,,,,,Kings Head,This spot is popular,Pub,800,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
47,,,,,Asda,This spot is popular,Supermarket,382,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
48,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,389,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
49,,,,,Johal Premier Express,This spot is popular,Convenience Store,389,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
50,,,,,Jet Garage,This spot is popular,Auto Workshop,676,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
51,,,,,Starbucks,This spot is popular,Coffee Shop,942,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
52,,,,,O2 Canteen,This spot is popular,Restaurant,918,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
53,,,,,DFS,This spot is popular,Furniture / Home Store,659,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
54,,,,,Currys PC World,This spot is popular,Electronics Store,756,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
55,,,,,Londis,This spot is popular,Convenience Store,757,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
56,,,,,The king and i,This spot is popular,Chinese Restaurant,793,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
57,,,,,Absolutely Karting,This spot is popular,Go Kart Track,925,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
58,,,,,Zorba's,This spot is popular,Food Truck,992,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
59,,,,,The Range,This spot is popular,Furniture / Home Store,366,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
60,,,,,Smyths Toys,This spot is popular,Toy / Game Store,301,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
61,,,,,Costa Coffee,This spot is popular,Coffee Shop,825,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
62,,,,,Costa Coffee,This spot is popular,Coffee Shop,739,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
63,,,,,Matalan,This spot is popular,Clothing Store,355,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
64,,,,,Premier Inn Slough West (Slough Trading Estate) hotel,This spot is popular,Hotel,974,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
65,,,,,Three Tuns,This spot is popular,Pub,943,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
66,,,,,Pizza Hut,This spot is popular,Pizza Place,904,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
67,,,,,Johal Premier Express,This spot is popular,Convenience Store,201,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
68,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,202,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
69,,,,,Kings Head,This spot is popular,Pub,877,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
70,,,,,McDonald's,This spot is popular,Fast Food Restaurant,612,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
71,,,,,Domino's Pizza,This spot is popular,Pizza Place,922,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
72,,,,,Jet Garage,This spot is popular,Auto Workshop,479,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
73,,,,,DFS,This spot is popular,Furniture / Home Store,447,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
74,,,,,Starbucks,This spot is popular,Coffee Shop,826,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
75,,,,,Slough Kebab,This spot is popular,Kebab Restaurant,957,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
76,,,,,Asda,This spot is popular,Supermarket,578,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
77,,,,,O2 Canteen,This spot is popular,Restaurant,800,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
78,,,,,Currys PC World,This spot is popular,Electronics Store,664,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
79,,,,,The king and i,This spot is popular,Chinese Restaurant,578,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
80,,,,,Absolutely Karting,This spot is popular,Go Kart Track,739,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
81,,,,,Londis,This spot is popular,Convenience Store,887,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
82,,,,,Bugis Street Brasserie,This spot is popular,Chinese Restaurant,920,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
83,,,,,Le Club health & fitness,This spot is popular,Gym / Fitness Center,922,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
84,,,,,Three Tuns Cafe,This spot is popular,Café,930,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
85,,,,,Zorba's,This spot is popular,Food Truck,937,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
86,,,,,Berkshire Motorcycle Centre,This spot is popular,Motorcycle Shop,949,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
87,,,,,Retrouve,This spot is popular,Breakfast Spot,950,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
88,,,,,Alek's Kebabs,This spot is popular,Food Truck,956,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
89,,,,,Copthorne Hotel,This spot is popular,Hotel,930,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
90,,,,,The Range,This spot is popular,Furniture / Home Store,596,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
91,,,,,Smyths Toys,This spot is popular,Toy / Game Store,529,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
92,,,,,Costa Coffee,This spot is popular,Coffee Shop,878,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
93,,,,,Costa Coffee,This spot is popular,Coffee Shop,904,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
94,,,,,Kings Head,This spot is popular,Pub,722,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
95,,,,,Matalan,This spot is popular,Clothing Store,553,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
96,,,,,McDonald's,This spot is popular,Fast Food Restaurant,479,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
97,,,,,Asda,This spot is popular,Supermarket,429,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
98,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,424,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
99,,,,,Johal Premier Express,This spot is popular,Convenience Store,424,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
100,,,,,Jet Garage,This spot is popular,Auto Workshop,653,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
101,,,,,Starbucks,This spot is popular,Coffee Shop,879,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
102,,,,,O2 Canteen,This spot is popular,Restaurant,857,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
103,,,,,Currys PC World,This spot is popular,Electronics Store,689,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
104,,,,,DFS,This spot is popular,Furniture / Home Store,675,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
105,,,,,Londis,This spot is popular,Convenience Store,689,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
106,,,,,The king and i,This spot is popular,Chinese Restaurant,800,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
107,,,,,Absolutely Karting,This spot is popular,Go Kart Track,891,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
108,,,,,Zorba's,This spot is popular,Food Truck,917,SL1 9AF Wade Drive,51.51113849999999,-0.629267,Wade Drive
109,,,,,The Range,This spot is popular,Furniture / Home Store,624,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
110,,,,,Smyths Toys,This spot is popular,Toy / Game Store,554,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
111,,,,,Costa Coffee,This spot is popular,Coffee Shop,917,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
112,,,,,Costa Coffee,This spot is popular,Coffee Shop,944,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
113,,,,,Kings Head,This spot is popular,Pub,733,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
114,,,,,Matalan,This spot is popular,Clothing Store,590,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
115,,,,,McDonald's,This spot is popular,Fast Food Restaurant,439,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
116,,,,,Asda,This spot is popular,Supermarket,388,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
117,,,,,Johal Premier Express,This spot is popular,Convenience Store,446,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
118,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,446,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
119,,,,,Jet Garage,This spot is popular,Auto Workshop,693,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
120,,,,,Starbucks,This spot is popular,Coffee Shop,919,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
121,,,,,O2 Canteen,This spot is popular,Restaurant,897,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
122,,,,,Currys PC World,This spot is popular,Electronics Store,727,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
123,,,,,Londis,This spot is popular,Convenience Store,687,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
124,,,,,DFS,This spot is popular,Furniture / Home Store,705,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
125,,,,,The king and i,This spot is popular,Chinese Restaurant,834,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
126,,,,,Absolutely Karting,This spot is popular,Go Kart Track,933,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
127,,,,,Zorba's,This spot is popular,Food Truck,950,SL1 9AG Gladstone Way,51.51078469999999,-0.6294521,Gladstone Way
128,,,,,The Range,This spot is popular,Furniture / Home Store,544,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
129,,,,,Smyths Toys,This spot is popular,Toy / Game Store,483,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
130,,,,,Costa Coffee,This spot is popular,Coffee Shop,812,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
131,,,,,Costa Coffee,This spot is popular,Coffee Shop,830,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
132,,,,,Matalan,This spot is popular,Clothing Store,483,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
133,,,,,Kings Head,This spot is popular,Pub,716,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
134,,,,,McDonald's,This spot is popular,Fast Food Restaurant,548,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
135,,,,,Johal Premier Express,This spot is popular,Convenience Store,383,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
136,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,384,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
137,,,,,Jet Garage,This spot is popular,Auto Workshop,580,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
138,,,,,Starbucks,This spot is popular,Coffee Shop,814,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
139,,,,,Asda,This spot is popular,Supermarket,500,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
140,,,,,O2 Canteen,This spot is popular,Restaurant,791,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
141,,,,,Currys PC World,This spot is popular,Electronics Store,627,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
142,,,,,DFS,This spot is popular,Furniture / Home Store,618,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
143,,,,,Londis,This spot is popular,Convenience Store,708,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
144,,,,,The king and i,This spot is popular,Chinese Restaurant,738,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
145,,,,,Absolutely Karting,This spot is popular,Go Kart Track,817,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
146,,,,,Zorba's,This spot is popular,Food Truck,866,SL1 9AH Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
147,,,,,The Range,This spot is popular,Furniture / Home Store,544,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
148,,,,,Smyths Toys,This spot is popular,Toy / Game Store,483,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
149,,,,,Costa Coffee,This spot is popular,Coffee Shop,812,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
150,,,,,Costa Coffee,This spot is popular,Coffee Shop,830,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
151,,,,,Matalan,This spot is popular,Clothing Store,483,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
152,,,,,Kings Head,This spot is popular,Pub,716,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
153,,,,,McDonald's,This spot is popular,Fast Food Restaurant,548,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
154,,,,,Johal Premier Express,This spot is popular,Convenience Store,383,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
155,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,384,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
156,,,,,Jet Garage,This spot is popular,Auto Workshop,580,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
157,,,,,Starbucks,This spot is popular,Coffee Shop,814,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
158,,,,,Asda,This spot is popular,Supermarket,500,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
159,,,,,O2 Canteen,This spot is popular,Restaurant,791,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
160,,,,,Currys PC World,This spot is popular,Electronics Store,627,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
161,,,,,DFS,This spot is popular,Furniture / Home Store,618,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
162,,,,,Londis,This spot is popular,Convenience Store,708,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
163,,,,,The king and i,This spot is popular,Chinese Restaurant,738,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
164,,,,,Absolutely Karting,This spot is popular,Go Kart Track,817,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
165,,,,,Zorba's,This spot is popular,Food Truck,866,SL1 9AJ Hardy Close,51.5117442,-0.6288233999999999,Hardy Close
166,,,,,The Range,This spot is popular,Furniture / Home Store,394,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
167,,,,,Smyths Toys,This spot is popular,Toy / Game Store,334,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
168,,,,,Costa Coffee,This spot is popular,Coffee Shop,790,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
169,,,,,Costa Coffee,This spot is popular,Coffee Shop,728,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
170,,,,,Premier Inn Slough West (Slough Trading Estate) hotel,This spot is popular,Hotel,954,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
171,,,,,Matalan,This spot is popular,Clothing Store,354,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
172,,,,,Three Tuns,This spot is popular,Pub,979,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
173,,,,,Pizza Hut,This spot is popular,Pizza Place,941,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
174,,,,,Kings Head,This spot is popular,Pub,832,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
175,,,,,Johal Premier Express,This spot is popular,Convenience Store,240,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
176,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,241,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
177,,,,,Jet Garage,This spot is popular,Auto Workshop,469,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
178,,,,,McDonald's,This spot is popular,Fast Food Restaurant,623,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
179,,,,,Domino's Pizza,This spot is popular,Pizza Place,959,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
180,,,,,Starbucks,This spot is popular,Coffee Shop,791,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
181,,,,,DFS,This spot is popular,Furniture / Home Store,468,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
182,,,,,O2 Canteen,This spot is popular,Restaurant,765,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
183,,,,,Currys PC World,This spot is popular,Electronics Store,625,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
184,,,,,Asda,This spot is popular,Supermarket,585,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
185,,,,,Slough Kebab,This spot is popular,Kebab Restaurant,995,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
186,,,,,The king and i,This spot is popular,Chinese Restaurant,593,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
187,,,,,Absolutely Karting,This spot is popular,Go Kart Track,724,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
188,,,,,Londis,This spot is popular,Convenience Store,848,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
189,,,,,Zorba's,This spot is popular,Food Truck,895,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
190,,,,,Bugis Street Brasserie,This spot is popular,Chinese Restaurant,965,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
191,,,,,Le Club health & fitness,This spot is popular,Gym / Fitness Center,967,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
192,,,,,Three Tuns Cafe,This spot is popular,Café,968,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
193,,,,,Alek's Kebabs,This spot is popular,Food Truck,981,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
194,,,,,Berkshire Motorcycle Centre,This spot is popular,Motorcycle Shop,987,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
195,,,,,Retrouve,This spot is popular,Breakfast Spot,995,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
196,,,,,Copthorne Hotel,This spot is popular,Hotel,975,SL1 9AN Raleigh Close,51.5121523,-0.6267501000000001,Raleigh Close
197,,,,,The Range,This spot is popular,Furniture / Home Store,327,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
198,,,,,Smyths Toys,This spot is popular,Toy / Game Store,264,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
199,,,,,Costa Coffee,This spot is popular,Coffee Shop,813,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
200,,,,,Costa Coffee,This spot is popular,Coffee Shop,707,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
201,,,,,Matalan,This spot is popular,Clothing Store,319,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
202,,,,,Premier Inn Slough West (Slough Trading Estate) hotel,This spot is popular,Hotel,947,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
203,,,,,Three Tuns,This spot is popular,Pub,908,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
204,,,,,Pizza Hut,This spot is popular,Pizza Place,869,SL1 9AP Adam Close,51.5121354,-0.6257184000000001,Adam Close
